Sección,Tipo,DEF,DEL,Municipio ID,Municipio,Lista Nominal
1,Mixta,4,18,1,Aconchi,1570
2,Rural,4,18,1,Aconchi,790
3,Urbana,2,7,2,Agua Prieta,1257
4,Urbana,2,7,2,Agua Prieta,345
5,Urbana,2,7,2,Agua Prieta,613
6,Urbana,2,7,2,Agua Prieta,1220
7,Urbana,2,7,2,Agua Prieta,1354
8,Urbana,2,7,2,Agua Prieta,2583
9,Urbana,2,7,2,Agua Prieta,2625
10,Urbana,2,7,2,Agua Prieta,2409
11,Urbana,2,7,2,Agua Prieta,1319
12,Urbana,2,7,2,Agua Prieta,1131
13,Urbana,2,7,2,Agua Prieta,1052
14,Urbana,2,7,2,Agua Prieta,1682
15,Urbana,2,7,2,Agua Prieta,1051
16,Urbana,2,7,2,Agua Prieta,610
17,Mixta,2,7,2,Agua Prieta,5679
18,Urbana,2,7,2,Agua Prieta,1635
19,Urbana,2,7,2,Agua Prieta,2984
20,Urbana,2,7,2,Agua Prieta,4762
21,Urbana,2,7,2,Agua Prieta,1770
22,Urbana,2,7,2,Agua Prieta,6444
23,Mixta,2,7,2,Agua Prieta,3992
24,Urbana,2,7,2,Agua Prieta,7709
25,Urbana,2,7,2,Agua Prieta,2180
26,Urbana,2,7,2,Agua Prieta,4384
27,Rural,2,7,2,Agua Prieta,126
28,Rural,2,7,2,Agua Prieta,121
29,Rural,2,7,2,Agua Prieta,58
30,Rural,2,7,2,Agua Prieta,225
31,Urbana,2,7,2,Agua Prieta,3921
32,Urbana,2,7,2,Agua Prieta,313
34,Urbana,1,3,3,Altar,1289
35,Urbana,1,3,3,Altar,2211
37,Rural,1,3,3,Altar,257
38,Mixta,4,18,4,Arivechi,759
39,Rural,4,18,4,Arivechi,214
40,Rural,4,18,4,Arivechi,103
41,Urbana,2,18,5,Arizpe,785
42,Mixta,2,18,5,Arizpe,1015
43,Rural,2,18,5,Arizpe,463
44,Rural,2,18,5,Arizpe,337
45,Rural,2,18,5,Arizpe,280
46,Mixta,1,3,6,Atil,708
47,Mixta,4,18,7,Bacadéhuachi,1021
48,Mixta,4,18,8,Bacanora,715
49,Rural,4,18,8,Bacanora,136
50,Rural,4,18,8,Bacanora,35
51,Rural,4,18,8,Bacanora,102
52,Mixta,4,18,9,Bacerac,1027
53,Rural,4,18,9,Bacerac,65
54,Mixta,2,7,10,Bacoachi,1103
55,Rural,2,7,10,Bacoachi,334
56,Mixta,4,18,11,Banámichi,1034
57,Urbana,4,18,11,Banámichi,504
58,Urbana,4,18,12,Baviácora,968
59,Mixta,4,18,12,Baviácora,869
60,Rural,4,18,12,Baviácora,325
61,Rural,4,18,12,Baviácora,137
62,Rural,4,18,12,Baviácora,271
63,Rural,4,18,12,Baviácora,751
64,Mixta,4,18,13,Bavispe,687
65,Rural,4,18,13,Bavispe,504
66,Mixta,4,18,14,Benjamín Hill,926
67,Urbana,4,18,14,Benjamín Hill,870
68,Urbana,4,18,14,Benjamín Hill,1069
69,Urbana,4,18,14,Benjamín Hill,778
70,Urbana,2,7,15,Cananea,1215
71,Urbana,2,7,15,Cananea,1338
72,Urbana,2,7,15,Cananea,1515
73,Urbana,2,7,15,Cananea,2452
74,Urbana,2,7,15,Cananea,1859
75,Urbana,2,7,15,Cananea,7413
76,Urbana,2,7,15,Cananea,874
77,Urbana,2,7,15,Cananea,822
78,Urbana,2,7,15,Cananea,888
79,Urbana,2,7,15,Cananea,778
80,Urbana,2,7,15,Cananea,725
81,Mixta,2,7,15,Cananea,664
82,Urbana,2,7,15,Cananea,1481
83,Urbana,2,7,15,Cananea,3141
84,Urbana,2,7,15,Cananea,1488
85,Urbana,2,7,15,Cananea,605
86,Rural,2,7,15,Cananea,311
87,Rural,2,7,15,Cananea,205
88,Rural,2,7,15,Cananea,533
89,Mixta,2,18,16,Cucurpe,841
90,Rural,2,18,16,Cucurpe,96
91,Rural,2,18,16,Cucurpe,40
92,Mixta,4,18,17,Cumpas,522
93,Urbana,4,18,17,Cumpas,922
94,Urbana,4,18,17,Cumpas,1226
95,Rural,4,18,17,Cumpas,141
96,Mixta,4,18,17,Cumpas,887
97,Rural,4,18,17,Cumpas,580
98,Rural,4,18,17,Cumpas,367
99,Rural,4,18,17,Cumpas,474
100,Mixta,4,18,18,Divisaderos,923
101,Mixta,2,7,19,Fronteras,975
102,Rural,2,7,19,Fronteras,189
103,Mixta,2,7,19,Fronteras,2020
104,Urbana,2,7,19,Fronteras,1552
105,Urbana,2,7,19,Fronteras,1609
106,Mixta,4,18,20,Granados,1057
107,Mixta,4,18,21,Huachinera,694
108,Rural,4,18,21,Huachinera,283
109,Mixta,4,18,22,Huásabas,1287
110,Mixta,4,18,23,Huépac,1067
111,Rural,4,18,23,Huépac,279
112,Urbana,2,18,24,Imuris,1716
113,Urbana,2,18,24,Imuris,2860
114,Urbana,2,18,24,Imuris,676
115,Mixta,2,18,24,Imuris,1692
116,Mixta,2,18,24,Imuris,1693
117,Rural,2,18,24,Imuris,269
120,Rural,2,18,24,Imuris,11
121,Rural,2,18,24,Imuris,333
122,Rural,2,18,24,Imuris,399
123,Urbana,2,4,25,Magdalena,2179
124,Urbana,2,4,25,Magdalena,920
125,Urbana,2,4,25,Magdalena,1335
126,Urbana,2,4,25,Magdalena,3034
127,Urbana,2,4,25,Magdalena,1012
128,Urbana,2,4,25,Magdalena,1492
129,Urbana,2,4,25,Magdalena,1903
130,Urbana,2,4,25,Magdalena,2973
131,Urbana,2,4,25,Magdalena,2949
132,Urbana,2,4,25,Magdalena,1933
133,Urbana,2,4,25,Magdalena,1900
134,Rural,2,4,25,Magdalena,385
135,Rural,2,4,25,Magdalena,288
136,Rural,2,4,25,Magdalena,1686
137,Rural,2,4,25,Magdalena,211
138,Urbana,4,18,26,Moctezuma,1946
139,Urbana,4,18,26,Moctezuma,938
140,Mixta,4,18,26,Moctezuma,1248
141,Rural,4,18,26,Moctezuma,112
142,Urbana,2,7,27,Naco,708
143,Urbana,2,7,27,Naco,657
144,Urbana,2,7,27,Naco,1269
145,Mixta,2,7,27,Naco,1856
146,Mixta,4,18,28,Nácori Chico,1048
147,Rural,4,18,28,Nácori Chico,339
148,Rural,4,18,28,Nácori Chico,49
149,Urbana,4,18,29,Nacozari de García,1096
150,Mixta,4,18,29,Nacozari de García,846
151,Urbana,4,18,29,Nacozari de García,1388
152,Urbana,4,18,29,Nacozari de García,879
153,Urbana,4,18,29,Nacozari de García,806
154,Urbana,4,18,29,Nacozari de García,1072
155,Urbana,4,18,29,Nacozari de García,696
156,Urbana,4,18,29,Nacozari de García,2437
157,Rural,4,18,29,Nacozari de García,394
158,Rural,4,18,29,Nacozari de García,150
159,Urbana,2,5,30,Nogales,1028
160,Urbana,2,5,30,Nogales,424
161,Urbana,2,5,30,Nogales,765
162,Urbana,2,5,30,Nogales,1660
163,Urbana,2,5,30,Nogales,1766
164,Urbana,2,5,30,Nogales,1914
165,Urbana,2,5,30,Nogales,1174
166,Urbana,2,5,30,Nogales,880
167,Urbana,2,5,30,Nogales,820
168,Urbana,2,5,30,Nogales,572
169,Urbana,2,5,30,Nogales,590
170,Urbana,2,5,30,Nogales,915
171,Urbana,2,5,30,Nogales,1777
172,Urbana,2,5,30,Nogales,997
173,Urbana,2,5,30,Nogales,700
174,Urbana,2,5,30,Nogales,921
175,Urbana,2,5,30,Nogales,1583
176,Urbana,2,5,30,Nogales,790
177,Urbana,2,5,30,Nogales,431
178,Urbana,2,5,30,Nogales,1116
179,Urbana,2,5,30,Nogales,1296
180,Urbana,2,5,30,Nogales,2204
181,Urbana,2,5,30,Nogales,728
182,Urbana,2,5,30,Nogales,1139
183,Urbana,2,5,30,Nogales,894
184,Urbana,2,5,30,Nogales,1201
185,Urbana,2,5,30,Nogales,1976
186,Urbana,2,5,30,Nogales,764
187,Urbana,2,5,30,Nogales,2389
188,Urbana,2,5,30,Nogales,1488
189,Urbana,2,5,30,Nogales,997
190,Urbana,2,5,30,Nogales,610
191,Urbana,2,5,30,Nogales,1153
192,Urbana,2,5,30,Nogales,2609
193,Urbana,2,5,30,Nogales,1808
194,Urbana,2,5,30,Nogales,1858
195,Urbana,2,5,30,Nogales,1019
196,Urbana,2,5,30,Nogales,1006
197,Urbana,2,5,30,Nogales,341
198,Urbana,2,5,30,Nogales,1132
199,Urbana,2,5,30,Nogales,2010
200,Urbana,2,5,30,Nogales,1230
201,Urbana,2,5,30,Nogales,1446
202,Urbana,2,5,30,Nogales,1241
203,Urbana,2,5,30,Nogales,631
204,Urbana,2,5,30,Nogales,1289
205,Urbana,2,5,30,Nogales,4043
206,Urbana,2,5,30,Nogales,3802
207,Urbana,2,5,30,Nogales,2635
